id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,93508.0,-1.48335,1857406712787,1,16291435138,19857031.0,108786.0,67.81,2025-04-28T00:56:53.745Z
ethereum,eth,Ethereum,1776.25,-3.65747,214478625648,2,9141247103,120722857.155065,4878.26,0.432979,2025-04-28T00:56:53.606Z
tether,usdt,Tether,1.0,0.00153,147176964716,3,18244396831,147128417471.413,1.32,0.572521,2025-04-28T00:56:55.167Z
ripple,xrp,XRP,2.26,2.53834,131979746663,4,3842200041,58444738299.0,3.4,0.00268621,2025-04-28T00:56:52.555Z
binancecoin,bnb,BNB,604.48,-0.47854,88187857583,5,560983976,145887575.79,788.84,0.0398177,2025-04-28T00:56:52.160Z
solana,sol,Solana,147.5,-1.59436,76365948841,6,2313227699,517549056.0731838,293.31,0.500801,2025-04-28T00:56:53.247Z
usd-coin,usdc,USDC,0.9999,-0.00985,62076235273,7,3566618066,62082830674.95277,1.17,0.877647,2025-04-28T00:56:51.125Z
dogecoin,doge,Dogecoin,0.178099,-2.49773,26531140374,8,1184120232,149029586383.7052,0.731578,8.69e-05,2025-04-28T00:56:52.969Z
cardano,ada,Cardano,0.701204,-2.05958,25265122870,9,568609004,36025982918.44367,3.09,0.01925275,2025-04-28T00:56:54.967Z
tron,trx,TRON,0.244786,-3.50697,23249171433,10,633441597,94937281655.63779,0.431288,0.00180434,2025-04-28T00:56:52.323Z
