id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,94104.0,-0.04646,1868422650335,1,17618953280,19857071.0,108786.0,67.81,2025-04-28T04:50:35.030Z
ethereum,eth,Ethereum,1789.56,-0.78236,216060197779,2,9794143106,120725290.8568705,4878.26,0.432979,2025-04-28T04:50:34.411Z
tether,usdt,Tether,1.0,-0.00327,147280507098,3,33364221334,147243667464.5653,1.32,0.572521,2025-04-28T04:50:37.686Z
ripple,xrp,XRP,2.27,4.5424,132766044496,4,3985727098,58444738299.0,3.4,0.00268621,2025-04-28T04:50:34.584Z
binancecoin,bnb,BNB,604.53,0.57141,88202497467,5,543227593,145887575.79,788.84,0.0398177,2025-04-28T04:50:34.336Z
solana,sol,Solana,149.04,1.41238,77155522196,6,2504114767,517548894.0966905,293.31,0.500801,2025-04-28T04:50:34.835Z
usd-coin,usdc,USDC,0.999926,-0.0028,62075451431,7,6741880720,62079314926.18856,1.17,0.877647,2025-04-28T04:50:33.784Z
dogecoin,doge,Dogecoin,0.179441,0.58082,26746675228,8,1149299205,149029586383.7052,0.731578,8.69e-05,2025-04-28T04:50:35.005Z
cardano,ada,Cardano,0.714259,2.49457,25739325234,9,629175747,36025982918.44367,3.09,0.01925275,2025-04-28T04:50:34.821Z
tron,trx,TRON,0.244757,-3.14666,23234177070,10,574506566,94937281655.63779,0.431288,0.00180434,2025-04-28T04:50:34.134Z
