id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,93492.0,-1.49967,1856602463218,1,16285272852,19857031.0,108786.0,67.81,2025-04-28T00:58:48.268Z
ethereum,eth,Ethereum,1775.82,-3.68064,214414733639,2,9620723639,120722857.155065,4878.26,0.432979,2025-04-28T00:58:48.534Z
tether,usdt,Tether,1.0,0.00143,147177972483,3,32174983603,147128417471.413,1.32,0.572521,2025-04-28T00:58:38.152Z
ripple,xrp,XRP,2.26,2.58602,132098889550,4,3672879096,58444738299.0,3.4,0.00268621,2025-04-28T00:58:48.249Z
binancecoin,bnb,BNB,604.35,-0.50029,88174768310,5,560253685,145887575.79,788.84,0.0398177,2025-04-28T00:58:46.365Z
solana,sol,Solana,147.5,-1.59915,76338124204,6,2312641631,517549056.0731838,293.31,0.500801,2025-04-28T00:58:47.495Z
usd-coin,usdc,USDC,0.999885,-0.01135,62076411876,7,6420576773,62083007185.56355,1.17,0.877647,2025-04-28T00:58:47.033Z
dogecoin,doge,Dogecoin,0.178105,-2.49453,26543150309,8,1184220709,149029586383.7052,0.731578,8.69e-05,2025-04-28T00:58:47.978Z
cardano,ada,Cardano,0.700765,-2.12093,25251332404,9,567827186,36025982918.44367,3.09,0.01925275,2025-04-28T00:58:47.949Z
tron,trx,TRON,0.244723,-3.53178,23239362269,10,633023429,94937281655.63779,0.431288,0.00180434,2025-04-28T00:58:47.140Z
