id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,93477.0,-1.51638,1856602463218,1,16285810475,19857031.0,108786.0,67.81,2025-04-28T01:00:13.149Z
ethereum,eth,Ethereum,1775.52,-3.69703,214414733639,2,9624708580,120722857.155065,4878.26,0.432979,2025-04-28T01:00:11.793Z
tether,usdt,Tether,1.0,0.00184,147177972483,3,15136457314,147128417471.413,1.32,0.572521,2025-04-28T01:00:26.913Z
ripple,xrp,XRP,2.26,2.68717,132098889550,4,3677058746,58444738299.0,3.4,0.00268621,2025-04-28T01:00:31.780Z
binancecoin,bnb,BNB,604.09,-0.44022,88174768310,5,435110668,145887575.79,788.84,0.0398177,2025-04-28T01:00:31.461Z
solana,sol,Solana,147.45,-1.63034,76338124204,6,2312731555,517549056.0731838,293.31,0.500801,2025-04-28T01:00:11.210Z
usd-coin,usdc,USDC,0.999872,-0.0127,62076411876,7,6546803007,62083007185.56355,1.17,0.877647,2025-04-28T01:00:23.075Z
dogecoin,doge,Dogecoin,0.17765,-2.74339,26543150309,8,1180929894,149029586383.7052,0.731578,8.69e-05,2025-04-28T01:00:31.180Z
cardano,ada,Cardano,0.700552,-2.15069,25251332404,9,567586085,36025982918.44367,3.09,0.01925275,2025-04-28T01:00:11.404Z
tron,trx,TRON,0.244652,-3.5599,23239362269,10,633060299,94937281655.63779,0.431288,0.00180434,2025-04-28T01:00:31.507Z
