id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,94159.0,0.29832,1870129146433,1,17720667014,19857096.0,108786.0,67.81,2025-04-28T05:31:43.043Z
ethereum,eth,Ethereum,1794.79,-0.20268,216680229346,2,9748374345,120725290.8568705,4878.26,0.432979,2025-04-28T05:31:44.675Z
tether,usdt,Tether,1.0,0.00207,147279034472,3,16364880083,147243667464.5653,1.32,0.572521,2025-04-28T05:31:45.984Z
ripple,xrp,XRP,2.28,5.17308,133308072529,4,4112415017,58444738299.0,3.4,0.00268621,2025-04-28T05:31:43.595Z
binancecoin,bnb,BNB,604.34,1.03949,88166362994,5,529999082,145887575.79,788.84,0.0398177,2025-04-28T05:31:44.406Z
solana,sol,Solana,149.33,2.23744,77299696718,6,2502901294,517548854.9853405,293.31,0.500801,2025-04-28T05:31:44.786Z
usd-coin,usdc,USDC,0.999945,-0.00546,62076041511,7,6459759760,62079314926.18856,1.17,0.877647,2025-04-28T05:31:42.642Z
dogecoin,doge,Dogecoin,0.179433,1.23554,26750425598,8,1152515323,149029586383.7052,0.731578,8.69e-05,2025-04-28T05:31:44.396Z
cardano,ada,Cardano,0.711932,2.30646,25658176317,9,636323385,36025982918.44367,3.09,0.01925275,2025-04-28T05:31:43.461Z
tron,trx,TRON,0.245352,-2.45764,23301920286,10,567277173,94937281655.63779,0.431288,0.00180434,2025-04-28T05:31:43.347Z
