id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,94134.0,0.04955,1869119406560,1,17608798186,19857096.0,108786.0,67.81,2025-04-28T05:15:55.250Z
ethereum,eth,Ethereum,1789.85,-0.74435,216096478979,2,9711120899,120725290.8568705,4878.26,0.432979,2025-04-28T05:15:57.416Z
tether,usdt,Tether,1.0,0.00334,147281054025,3,33337388591,147243667464.5653,1.32,0.572521,2025-04-28T05:15:58.726Z
ripple,xrp,XRP,2.28,4.83107,133091086819,4,4088142947,58444738299.0,3.4,0.00268621,2025-04-28T05:15:56.226Z
binancecoin,bnb,BNB,604.39,0.6687,88178156563,5,539439141,145887575.79,788.84,0.0398177,2025-04-28T05:15:56.092Z
solana,sol,Solana,149.12,1.64884,77172050670,6,2515973811,517548869.1052955,293.31,0.500801,2025-04-28T05:15:55.305Z
usd-coin,usdc,USDC,0.999935,-0.00173,62074084453,7,6731908604,62079314926.18856,1.17,0.877647,2025-04-28T05:15:57.084Z
dogecoin,doge,Dogecoin,0.179328,0.60213,26745197101,8,1158911916,149029586383.7052,0.731578,8.69e-05,2025-04-28T05:15:55.699Z
cardano,ada,Cardano,0.713247,2.14843,25694775975,9,638517781,36025982918.44367,3.09,0.01925275,2025-04-28T05:15:57.427Z
tron,trx,TRON,0.245745,-2.70511,23322532334,10,570411161,94937281655.63779,0.431288,0.00180434,2025-04-28T05:15:54.493Z
